Event_ID,Duration_s,Mic0_vs_Mic1_ms,Mic0_vs_Mic2_ms,Mic0_vs_Mic3_ms,Mic1_vs_Mic2_ms,Mic1_vs_Mic3_ms,Mic2_vs_Mic3_ms
1,1.2199,0.2292,-0.1875,-0.1667,-0.2292,-0.3958,-0.1667
2,0.2366,-1.0625,-0.0208,-0.3750,1.0625,0.1250,-0.7083
3,0.2863,-0.8750,0.0625,-0.0208,1.0208,0.2500,-0.2917
4,0.6747,0.2292,-0.2083,-0.3750,-0.2292,-0.3958,-0.1667
5,0.7713,0.2292,-0.2083,-0.1667,-0.2292,-0.3958,-0.1667
6,0.1516,-0.2500,0.2708,-0.1458,0.0208,0.1042,0.0625
7,0.6908,0.2292,-0.2083,-0.3750,-0.2292,-0.3958,-0.1667
8,0.2873,-0.7500,0.0000,-0.2500,0.8750,0.4583,-0.4375
9,0.2687,-1.0208,0.0208,-0.2708,1.1250,0.4792,-0.4583
10,0.2916,-0.6458,0.1042,-0.0833,0.8542,0.2917,-0.4583
11,0.1705,-0.6250,0.0417,-0.1667,1.0000,0.2917,-0.2708
12,0.3643,-1.2708,0.0208,-0.2917,1.4167,1.1667,-0.4792
13,0.2384,-1.1667,0.0208,-0.3750,1.2500,0.5625,-0.6875
14,1.2092,0.2292,-0.1875,-0.1667,-0.2292,-0.3958,-0.1667
15,0.3325,-1.1250,0.2708,-0.1667,1.4792,0.6667,-0.5625
16,0.1716,-1.1042,0.2917,-0.1875,1.1250,0.6667,-0.6458
17,0.1764,-1.1042,0.2083,-0.2292,1.0417,0.6667,-0.6458
18,0.2464,-1.1458,-0.1875,-0.1667,0.9375,0.5208,-0.1667
19,0.7058,0.2292,-0.2083,-0.1667,-0.2292,-0.3958,-0.1667
20,0.1677,-0.5417,0.1042,-0.1250,0.9583,0.2500,-0.4167
21,0.5315,0.2292,-0.2083,-0.1667,-0.2292,-0.3958,-0.1667
22,0.2687,-1.1042,0.1875,-0.2917,1.2917,0.6458,-0.8750
23,0.7133,0.2292,-0.2083,-0.3750,-0.2292,-0.3958,-0.1667
24,0.1850,-0.3333,0.1458,-0.1042,0.9375,0.0833,-0.6042
25,0.2691,-1.1250,0.0833,-0.3125,1.0417,0.4167,-0.2292
26,0.1526,-1.1250,0.1250,-0.2917,1.1875,0.5625,-0.4583
27,0.2339,-1.1458,0.0208,-0.0833,0.7292,0.3750,-0.2292
28,0.1551,-0.7917,-0.0833,-0.0625,0.6875,0.3542,-0.2292
29,0.1666,-0.8125,-0.0833,-0.0625,0.6667,0.3333,-0.2292
30,0.3801,-0.7292,-0.0625,-0.1250,1.0625,0.3333,-0.2292
31,0.1625,-0.7500,-0.0833,-0.1250,0.9167,0.1042,-0.2500
32,1.4441,0.2292,-0.1875,-0.1667,-0.2292,-0.3958,-0.1667
33,2.7129,0.2292,-0.2083,-0.1667,-0.2292,-0.3958,-0.1667
